jl. makaliwe,grogol
jl. wijaya ii,pulo
halte s,pejagalan
halte r,pejagalan
penjernihan i,bendungan hilir
pasar bogor lama,pasar manggis
jl. p mutiara,jelambar
h abdulrahman,senen
ptb,jelambar
jl perintis kemerdekaan,pulo gadung
kampung utan,utan panjang
jl. rukun,pejaten barat
pasar jumat,lebak bulus
juanda,kebon kelapa
khatedral,pasar baru
jl. balai pustaka,jati
kyai tapa --,grogol
banteng barat,pasar baru
ks tubun,petamburan
-- hanglekir,gunung
senopati,senayan
kav polri,jelambar
fachrudin,kampung bali
kota ( jl lada ),pinangsia
lb. bulus,lebak bulus
-- jl. kr bunder,cipinang
jl. soepono,menteng dalam
stasiun kota,pinangsia
k. gempol,kebon kosong
balap seped,jati
mh tamrin,kebon sirih
jl. bhayangkara,tugu utara
jl. harsono rm,ragunan
pasar blok a,kebon kacang
ujung krawang,pulogebang
jl. bendi,kebayoran lama utara
halte bermis,pejagalan
poltangan raya,pejaten barat
hasanuddin,pulo
jl . gunawarman,selong
ps cengkareng,cengkareng barat
jl. benda,cilandak timur
susilo raya,grogol
kota (jl. lada),pinangsia
kelapa cengkir,kelapa gading barat
tanah merdeka,rambutan
jl . imam bonjol,menteng
ps. jumat,pejaten barat
jl. gajah mada,petojo selatan
jl. s. agung,sunter agung
jl. pinang --jl. margasatwa,pondok labu
tarian timur/barat,kelapa gading barat
perumnas raya,malaka jaya
cemara,lagoa
jl. imam bonjol/tangerang,menteng
jl. kwini i,senen
nelayan barat,roa malaka
jl. jahe,kayu putih
jl. mabes al,gunung sahari selatan
merdeka utara,gambir
pasar kebayoran lama,cipulir
jl. kby lama,kebayoran lama utara
pasar inpres,gandaria utara
pintu,pasar baru
land mark,setiabudi
bhayangkara,tugu utara
poncol,kuningan barat
jenderal sudirman,senayan
jl. bekasi brt,tomang
pakubuwono 6,gunung
jl. jendral sudirman,senayan
danau sunter barat,sunter agung
jl . r r,menteng dalam
jl. dr sutomo,pasar baru
tb,pasar minggu
jembatan genit,kedaung kali angke
jl ridwan rais,gambir
jl. aren,jati
jl. cempadak,cipinang cempedak
walikota jaktim,kelapa gading barat
jl . senopati,senayan
pademangan iv,pademangan barat
rsaid b. raya,karet
komp. seroja,cilandak timur
halte pasar cempaka,cengkareng barat
sawo kecil,gunung sahari selatan
sisingamangaraja,gunung
jl. s parman,palmerah
sawo kecik,pulogebang
letjen suprapto,harapan mulia
jembatan ii/iii,pejagalan
jl. jembatan iii,pejagalan
roximas,cideng
jl. m mansyur,duri utara
jl. h jian,cipete utara
jl. enggano,tanjung priok
mardani raya,johar baru
jl. piang,pondok pinang
pademangan iv/i,pademangan barat
aneka elok,cipinang muara
kejaksaan,pondok bambu
tb rengas,tugu utara
jl. bekasi  timur,cipinang besar utara
jl. iskandarsyah,pulo
halte,cengkareng barat
jl. rw mangun mk,jati
brawijaya,pulo
iskandarsyah,pulo
khm mansyur,duri utara
raya taman mini,lubang buaya
rempoa,bintaro
dr. latumenten,angke
xiv - xxi,kebon bawang
jl. mengkudu,lagoa
angkasa,gunung sahari selatan
ps inpres,senen
jl . budi utomo,pasar baru
pln,duren tiga
fachruddin,kampung bali
jl. jemb 3,pejagalan
rs fatmawati,cilandak barat
jl. garuda,gunung sahari selatan
raya bekasi,cakung
xviii - xix,maphar
jl . kyai maja --jl . hang tuah,gunung
jl imam bonjol,menteng
pp,tanah sereal
jl. raya hankam,grogol selatan
vespa-inpres,kelapa gading barat
swasembada timur,kebon bawang
perumnas bekasi ii,malaka jaya
jl. wijaya 2,pulo
jl. ry ps minggu,pejaten barat
jl. dr saharjo,manggarai selatan
rajawali barat - selatan i - utara v,jati
kampung bugis,harapan mulia
jl. subur,menteng atas
nusa indah iii - iv - i,malaka jaya
jl. b rahmat,cipinang besar utara
jl. soetoyo,cawang
jl . asia afrika,gelora
kayu tinggi,utan kayu selatan
rs persahabatan,pisangan timur
jl raya bogor,kramat jati
jl. tambak,pegangsaan
karang tengah,lebak bulus
manggis raya,kebon manggis
jl. mh thamrin,kebon sirih
jl. ampera raya,cilandak timur
jl. a yani --jl. pramuka,utan kayu selatan
banteng utara,pasar baru
otista iii,bidaracina
tenggiri,tanjung priok
raya kembangan,kembangan selatan
jl. merdeka barat,gambir
bojong indah,rawa buaya
danau sunter selatan,sunter agung
raya lapangan tembak,cilandak timur
jl. i bonjol,menteng
jl. a. yani,jati
jl. k maja,lagoa
jl. pos,sukabumi selatan
jl. k tendean,tegal parang
jl . garuda,gunung sahari selatan
jl. kebembem,cipinang
kh. mas mansyur,kebon kacang
jl. balap sepeda,jati
di. panjaitan,cipinang besar utara
attahariyah,pejaten barat
achmad yani,cempaka putih timur
tawakal raya,tomang
jl. sunter indah raya,sunter agung
jl. h a madjid,tugu utara
raya ciledug,ulujami
balap sepeda,jati
cempaka iii,harapan mulia
mas,kayu putih
gudang,tanah sereal
pandan raya,pal meriam
jl. nelayan,roa malaka
ampera raya,cilandak timur
komplek halim,halim perdanakusumah
perumnas i bekasi,malaka jaya
jl. sultan agung,pasar manggis
jl. johar,johar baru
jl. arimbi,kota bambu utara
jl. ir. juanda,kebon kelapa
nurul amal,cengkareng barat
jl. lenteng agun,pasar minggu
jl. veteran iii,gambir
katedral,pasar baru
jl. dr latumenten,jelambar
kel. kembangan,kembangan selatan
kbn jeruk,sukabumi selatan
jl. rosliana,palmerah
(under pass),kebon bawang
m karang raya,pejagalan
jl. gempol,sukapura
jl . utan kayu,utan kayu selatan
dr. sahardjo,manggarai selatan
ps jumat,pejaten barat
danau sunter utara,sunter agung
boulevard raya,kelapa gading barat
jl. dr. satrio,karet kuningan
jl. perintis k,kayu putih
jl. latumenten,jelambar
jl. kampung bandan,pluit
jl . asia afrika ,gelora
jl. ridwan rais,gambir
kel p kuningan,pondok pinang
jl. raden inten,duren sawit
jl. bambu wulung,rawa buaya
jl. ahmad yani,jati
jl. flamboyan,sunter agung
cipete viii,gandaria selatan
jl. kecapi,jagakarsa
st. ka. kota,jatinegara kaum
jend. s parman,slipi
jl. m. sunter boulevard,sunter agung
ii,pulo
raya nias,pegangsaan dua
jl. e,utan panjang
veteran iii,gambir
sekolahan,cijantung
jl. kamboja,jati
h abdul rahman,senen
jl. merdeka tmr,rambutan
jl. g subroto,kuningan barat
jl. buncit raya,tegal parang
dr satrio,karet kuningan
raya mabes hankam,sukabumi utara
jl kh fachrudin,kampung bali
bangunan barat,kayu putih
benhil raya,bendungan hilir
jl. prapatan,senen
gedung kesenian,pasar baru
c . s . w,cempaka putih barat
jl sisinga mangaraja,gunung
chandra,senayan
ridwan rais,gambir
lap banteng timur,pasar baru
tanjung duren barat,tanjung duren utara
raden inten,duren sawit
diponogoro,kenari
raya tj barat,tanjung barat
maja pahit,petojo utara
jl . mt haryono,pancoran
jl dewi sartika,cawang
kiwi,ciracas
jl. dewi sartika,cawang
dr. supomo,menteng dalam
raya ps minggu,pejaten barat
jl. barito ii,kramat pela
jl . katedral,pasar baru
jl. kawi,johar baru
jl. h. ali,kramat pela
minangkabau timur,pasar manggis
jl. jayakarta,mangga dua selatan
kembang sepatu,kramat
kolonel sugiono,pondok bambu
jl. h saidi,gandaria utara
jl. alu-alu,jati
jl. matraman raya,kebon manggis
muhamad,srengseng sawah
jl. ampera,cilandak timur
jl. t putih,kelapa gading barat
jl. raya pasar jumat,lebak bulus
metro pd indah,pondok pinang
jl . merdeka barat,gambir
jl muara karang,pejagalan
mawar,malaka jaya
seroja --sindang,rawa badak utara
jl . raya pondok gede,lubang buaya
kedondong,jagakarsa
sulaiman,palmerah
bima-dewi,cililitan
halte taman kota,pejagalan
jl enggano,tanjung priok
dr sahardjo,manggarai selatan
kemb :,kembangan selatan
rawakepa raya,tomang
boulevard,kelapa gading barat
jl. semper,semper barat
cip muara ry,cipinang muara
jl. merdeka utara,gambir
penjernihan ii,bendungan hilir
raya cilandak kko,cilandak timur
jl. biak,cideng
jl. mt. haryono,pancoran
raya ciputat,kebayoran lama utara
s suryopranoto,petojo utara
kalibesar timur,pinangsia
keong,mangga besar
plumpang,rawa badak utara
jl. suprapto,harapan mulia
gandaria iii,gandaria utara
jl. bina marga,munjul
raden intan,duren sawit
jl. danau indah barat,sunter agung
nirmala,duri kepa
perumnas ii tangerang,malaka jaya
jl. raya otista,bidaracina
duri raya,duri kepa
jl. kapten tendean,tegal parang
jl. bekasi ry,jatinegara
ring road,kembangan selatan
pahlawan revolusi,pondok bambu
p. kemerdekaan,kayu putih
k. sm. batu,bukit duri
rawa simprug i,grogol selatan
a. yani,kayu putih
pintu viii,jati
jl. p antasari,cipete utara
yos,sunter agung
jl merdeka utara,gambir
jl. swadaya,pejaten barat
jl. t simatupang,pasar minggu
mt. haryono,pancoran
kampung pupar,cakung
kemenangan,glodok
musik raya,pegangsaan dua
st hasanudin,pulo
kav tipar,semper barat
minangkabau,pasar manggis
jl. raya pondok gede,lubang buaya
jl. raya ciledug --t,palmerah
gn sahari v,gunung sahari selatan
lingkar luar selatan,pasar minggu
jl. boulevard a gading,kelapa gading barat
betet,tanah sereal
jl. s subroto,gelora
jl. r. said,kuningan timur
masuk,pejagalan
jl. kwini ii,senen
jl. raya boulevard timur,kelapa gading barat
jl. kunir,pinangsia
moch kahfi ii,jagakarsa
kantor walikota,petojo utara
zaenal arifin,petojo selatan
jl . raya bogor,kramat jati
bekasi raya,cakung
jaya motor,sunter agung
jl. w. monginsidi,rawa barat
bulak turi,tugu utara
jl . fachrudin,kampung bali
